title,subtitle,authors,isbn,publisher,publication_year,language,page_count,description,genre,tags,shelf,purchase_date,purchase_price
1984,A Novel,George Orwell,9780451524935,Signet Classic,1949,English,328,A dystopian novel depicting totalitarian regime and omnipresent government surveillance.,Classics,dystopian;political;classic;favorite,Shelf A1,2023-01-15,9.99
Animal Farm,A Fairy Story,George Orwell,9780451526342,Signet Classic,1945,English,144,An allegorical novella reflecting events leading up to the Russian Revolution.,Classics,satire;political;classic,Shelf A1,2023-01-15,7.99
To Kill a Mockingbird,,Harper Lee,9780061120084,Harper Perennial,1960,English,336,A powerful story of racial injustice and the destruction of innocence in the American South.,Classics,classic;literature;must-read,Shelf A1,2023-01-15,14.99
The Great Gatsby,,F. Scott Fitzgerald,9780743273565,Scribner,1925,English,180,A portrait of the Jazz Age and the tragedy of Jay Gatsby's pursuit of Daisy Buchanan.,Classics,classic;american;drama,Shelf A1,2023-01-15,10.50
Pride and Prejudice,,Jane Austen,9780141439518,Penguin Classics,1813,English,480,"A romantic novel of manners following Elizabeth Bennet as she deals with manners, marriage, and morality.",Romance,classic;romance;british,Shelf A2,2023-01-15,8.95
Crime and Punishment,,Fyodor Dostoevsky,9780140449136,Penguin Classics,1866,English,671,The mental anguish and moral dilemmas of Rodion Raskolnikov after murdering an unscrupulous pawnbroker.,Philosophy,russian;psychological;masterpiece,Shelf A2,2023-01-15,15.00
The Brothers Karamazov,,Fyodor Dostoevsky,9780374528379,"Farrar, Straus and Giroux",1880,English,796,"A passionate philosophical novel exploring debates of God, free will, and morality in 19th-century Russia.",Philosophy,russian;classic;epic,Shelf A2,2023-01-15,18.00
The Catcher in the Rye,,J.D. Salinger,9780316769488,"Little, Brown",1951,English,277,Holden Caulfield narrates two days in New York City after being expelled from his prep school.,Classics,coming-of-age;classic;favorite,Shelf A3,2023-01-15,11.20
One Hundred Years of Solitude,,Gabriel García Márquez,9780060883287,Harper Perennial,1967,English,417,The multi-generational story of the Buendía family whose patriarch founds the town of Macondo.,Fiction,magical-realism;nobel;classic,Shelf A3,2023-01-15,16.99
Brave New World,,Aldous Huxley,9780060850524,Harper Perennial,1932,English,288,A visionary future where genetic engineering and psychological conditioning create a deceptive utopia.,Sci-Fi,dystopian;classic;sci-fi,Shelf A3,2023-01-15,13.50
Fahrenheit 451,,Ray Bradbury,9781451673319,Simon & Schuster,1953,English,249,A future society where books are outlawed and firemen burn any that are found.,Sci-Fi,dystopian;classic;censorship,Shelf A3,2023-01-15,12.00
The Count of Monte Cristo,,Alexandre Dumas,9780140449266,Penguin Classics,1844,English,1276,"Edmond Dantès is wrongfully imprisoned, escapes from Chateau d'If, and seeks vengeance with vast wealth.",Adventure,classic;revenge;epic;adventure,Shelf A4,2023-01-15,22.50
Les Misérables,,Victor Hugo,9780451419439,Signet Classics,1862,English,1463,The struggles of ex-convict Jean Valjean and his experience of redemption and pursuit by Inspector Javert.,Classics,classic;french;epic;redemption,Shelf A4,2023-01-15,19.99
